
Sysinternals Autoruns v14.3 - Autostart program viewer
Copyright ? 2002-2026 Mark Russinovich
Sysinternals - www.sysinternals.com

Time,Entry Location,Entry,Enabled,Category,Profile,Description,Signer,Company,Image Path,Version,Launch String,MD5,SHA-1,PESHA-1,PESHA-256,SHA-256,IMP
4/1/2024 12:02:36 AM,HKLM\System\CurrentControlSet\Control\Terminal Server\Wds\rdpwd\StartupPrograms,,,Logon,System-wide,,,,,,,,,,,,
1/14/2026 10:34:58 AM,HKLM\System\CurrentControlSet\Control\Terminal Server\Wds\rdpwd\StartupPrograms,rdpclip,enabled,Logon,System-wide,RDP Clipboard Monitor,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\rdpclip.exe,10.0.26100.32230,rdpclip,1C0C714B1CAD4D8005647B9B86A3673D,69C6A3730FC5EC8959E51B33506B5253F46D0B7D,2DDAD5CE4495CBEA75D925E9E4FF917267209790,61C7C57B7F865872DD7823B9715EE6E6C7C955E6887E591553FCA5EBC946CC64,2B5B85EA52DA35C97C4BC6AAC104CE0DB4468E6C3DE264E2D539E38016272096,FBDEC6E4BA9A5126DECA850B0BC67149
9/22/2026 3:01:59 AM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,Logon,System-wide,,,,,,,,,,,,
1/14/2026 10:34:16 AM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,AzureArcSetup,enabled,Logon,System-wide,,(Verified) Microsoft Corporation,(Verified) Microsoft Corporation,C:\WINDOWS\AzureArcSetup\Systray\AzureArcSysTray.exe,,%windir%\AzureArcSetup\Systray\AzureArcSysTray.exe,708B5ACEEE3C229091AEAA1EE5ED0FF9,E32E18751E877A48938395BDD06028DB91DEE520,5521BCE27A402688149CE5EF3F3450C4FA5F9097,4F060A0E9862C5939A17D2CE965653C60D9574366D733DF231E679D3CAB212CD,2CC0B53EA5924B0A709092E11633674C6B4DD1A84821ED003708828DAE3980F9,BDCC7776F54081DD0E3D00F0A9879CAE
1/14/2026 10:35:11 AM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,SecurityHealth,enabled,Logon,System-wide,Windows Security notification icon,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\SecurityHealthSystray.exe,10.0.26100.7309,%windir%\system32\SecurityHealthSystray.exe,42266953A0CF902BAC3DB3C285119D1B,80AE61190CD4205834C781F8014E744B15FD6D78,08B810260689F664EFBB7D5DB2C0AC8B308E4410,2162B42ECA0EE070372BCDFBABA3C24B17977EDF1B69614882B8E1CC8033AD5F,0235838BC7668B37CF7BB534F927FDA83A04B0076A5A37097A4741C840D744BE,81064125BBA480CDFE4B334998446BE8
6/29/2026 5:13:28 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,VMware User Process,enabled,Logon,System-wide,VMware Tools Core Service,(Verified) Broadcom Inc,(Verified) Broadcom Inc,C:\Program Files\VMware\VMware Tools\vmtoolsd.exe,13.1.5.0,"""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"" -n vmusr",2BECDD64E53D61C88BF1E48CBF64D661,710AC650A054FFEB2732B951119081A510FCC4D8,149D8D8D6B3EFA10094D822129130C461FE1E246,3DA89416A52F6A2FAB15E83A47823496FE090259E65E92ABA16F7549A98DE39E,36B7A363FF3E07DC4ED5312B4478410079C1322DCF06CFB8C1B4D21547060D00,CA443A538442EC5567F1BBEE239321D0
9/22/2026 5:43:44 AM,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell,,,Logon,System-wide,,,,,,,,,,,,
1/14/2026 10:34:27 AM,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell,explorer.exe,enabled,Logon,System-wide,Windows Explorer,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\explorer.exe,10.0.26100.32230,explorer.exe,3C157C09819BA7679B2A9FB783291826,D8B0F5DA8BCEB4DC8697D50A9B3DA5C080F4D178,A55F8899ABB6FCCF847D883D8ECC635D263446C5,2D225DC07FBB195616631ACB0E2A798713B9A94F8565DE802441287B816F4AAC,7D6628BD598D2CBE4305EC7091893CE2B1C10AEE2B09AB1A901FCA5AE5759EE7,3C7ED17F97D7578122728875D302EEF5
4/1/2024 12:02:36 AM,HKLM\SYSTEM\CurrentControlSet\Control\SafeBoot\AlternateShell,,,Logon,System-wide,,,,,,,,,,,,
1/14/2026 10:34:20 AM,HKLM\SYSTEM\CurrentControlSet\Control\SafeBoot\AlternateShell,cmd.exe,enabled,Logon,System-wide,Windows Command Processor,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\cmd.exe,10.0.26100.7309,cmd.exe,6D109A3A00F210C1AB89C3B08399ED48,583BAC245F14E4E07E7508692C5D8B97F9EB9E6D,47D48DC06F90EAEA1462B665B1596EAD1765FDFE,1FBC4488027FA8CFFCDC973BC3EE27AA6A510AE16FD93E8A3E1CA4830F074E17,64AFC6DB3AAD1289533662E2D79E27DD55C7DCDB8CD918B08E145AD82AD5ACB4,B0F049C014592B156EB1FA857E99CEB9
